match_id,inning_no,batting_team,bowling_team,over,ball_in_over,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,is_wicket,wicket_player_out,wicket_kind,wicket_fielder,extras_type,commentary_short,commentary
1415701,1,Canada,United States of America,0,1,A Johnson,Ali Khan,NS Dhaliwal,4,0,4,0,,,,,"Ali Khan to Aaron Johnson, , and that's a superb start to the campaign! Lovely length delivery, dangling away, Aaron Joh","Ali Khan to Aaron Johnson, , and that's a superb start to the campaign! Lovely length delivery, dangling away, Aaron Johnson got a stride out and punched it wide of cover for a four. Canada are off to a positive start here"
1415701,1,Canada,United States of America,0,2,A Johnson,Ali Khan,NS Dhaliwal,0,0,0,0,,,,,"Ali Khan to Aaron Johnson, no run, length delivery, skiddy, Aaron Johnson looks to pull and gets an inside edge on to th","Ali Khan to Aaron Johnson, no run, length delivery, skiddy, Aaron Johnson looks to pull and gets an inside edge on to the pads"
1415701,1,Canada,United States of America,0,3,A Johnson,Ali Khan,NS Dhaliwal,0,1,1,0,,,,legbyes,"Ali Khan to Aaron Johnson, leg byes, 1 run, on the pads, angling in, Aaron Johnson looks to whip it and misses. The ball","Ali Khan to Aaron Johnson, leg byes, 1 run, on the pads, angling in, Aaron Johnson looks to whip it and misses. The ball rolls off the pads into the on-side for a single"
1415701,1,Canada,United States of America,0,4,NS Dhaliwal,Ali Khan,A Johnson,0,0,0,0,,,,,"Ali Khan to Navneet Dhaliwal, no run, lovely away going delivery. Nips away, from a short of length spot and Navneet Dha","Ali Khan to Navneet Dhaliwal, no run, lovely away going delivery. Nips away, from a short of length spot and Navneet Dhaliwal looks to punch it in an under-cokked manner and gets beaten"
1415701,1,Canada,United States of America,0,5,NS Dhaliwal,Ali Khan,A Johnson,0,0,0,0,,,,,"Ali Khan to Navneet Dhaliwal, no run, dot ball again. Fuller one, Navneet Dhaliwal drives on the up and finds the man at","Ali Khan to Navneet Dhaliwal, no run, dot ball again. Fuller one, Navneet Dhaliwal drives on the up and finds the man at mid-off"
1415701,1,Canada,United States of America,0,6,NS Dhaliwal,Ali Khan,A Johnson,1,0,1,0,,,,,"Ali Khan to Navneet Dhaliwal, 1 run, single to end the over. Was a short of length delivery and Navneet Dhaliwal tucks i","Ali Khan to Navneet Dhaliwal, 1 run, single to end the over. Was a short of length delivery and Navneet Dhaliwal tucks it wide of mid-on for a single. Not much movement on it. The batter preempted going back on that ball and managed to put it wide of mid-on"
1415701,1,Canada,United States of America,1,1,NS Dhaliwal,SN Netravalkar,A Johnson,0,0,0,0,,,,,"Netravalkar to Navneet Dhaliwal, no run, length delivery, angled across, Navneet Dhaliwal stabs it down to point","Netravalkar to Navneet Dhaliwal, no run, length delivery, angled across, Navneet Dhaliwal stabs it down to point"
1415701,1,Canada,United States of America,1,2,NS Dhaliwal,SN Netravalkar,A Johnson,4,0,4,0,,,,,"Netravalkar to Navneet Dhaliwal, , and four! Was a widish length delivery, Navneet Dhaliwal backed away and punched it t","Netravalkar to Navneet Dhaliwal, , and four! Was a widish length delivery, Navneet Dhaliwal backed away and punched it through the off-side for a four. Stood tall and put it away through the off-side into the gap"
1415701,1,Canada,United States of America,1,3,NS Dhaliwal,SN Netravalkar,A Johnson,1,0,1,0,,,,,"Netravalkar to Navneet Dhaliwal, 1 run, gets a single. Was a length delivery, Navneet Dhaliwal punched it off the front ","Netravalkar to Navneet Dhaliwal, 1 run, gets a single. Was a length delivery, Navneet Dhaliwal punched it off the front foot and to the right of the mid-off fielder. They steal a single despite hitting it firmly"
1415701,1,Canada,United States of America,1,4,A Johnson,SN Netravalkar,NS Dhaliwal,1,0,1,0,,,,,"Netravalkar to Aaron Johnson, 1 run, and one more. On the pads, easily tucked down on to the on-side for a single. The a","Netravalkar to Aaron Johnson, 1 run, and one more. On the pads, easily tucked down on to the on-side for a single. The angle across from the southpaw and was on the pads"
