player_name,matches,overs,balls_bowled,runs_conceded,wickets,average,economy,strike_rate,four_wickets,five_wickets
A Bohara,3,8.0,48,61,1,61.0,7.62,48.0,0,0
A Dutt,2,7.33,44,41,3,13.67,5.59,14.67,0,0
A Nao,3,9.5,57,47,3,15.67,4.95,19.0,0,0
A Nehra,5,19.0,114,117,5,23.4,6.16,22.8,0,0
A Nortje,18,71.83,431,423,33,12.82,5.89,13.06,3,0
A Vala,5,11.0,66,81,5,16.2,7.36,13.2,0,0
A Zampa,19,70.67,424,456,32,14.25,6.45,13.25,2,1
AC Agar,4,12.17,73,103,3,34.33,8.47,24.33,0,0
AC Evans,4,13.17,79,121,3,40.33,9.19,26.33,0,0
AD Mathews,4,10.5,63,75,0,,7.14,,0,0
AD Russell,15,53.33,320,419,20,20.95,7.86,16.0,0,0
AF Milne,9,32.17,193,242,5,48.4,7.52,38.6,0,0
AJ Hosein,14,51.67,310,341,14,24.36,6.6,22.14,1,1
AK Markram,10,21.0,126,138,3,46.0,6.57,42.0,0,0
AM Phangiso,2,8.17,49,45,3,15.0,5.51,16.33,0,0
AR McBrine,3,6.17,37,59,3,19.67,9.57,12.33,0,0
AR Patel,12,32.83,197,275,11,25.0,8.38,17.91,0,0
AR Ramjani,2,7.0,42,37,3,12.33,5.29,14.0,0,0
AS Joseph,9,35.0,210,234,18,13.0,6.69,11.67,2,0
AU Rashid,24,88.0,528,592,27,21.93,6.73,19.56,2,0
AV Lalcheta,2,7.0,42,59,1,59.0,8.43,42.0,0,0
Aamir Kaleem,2,5.0,30,42,1,42.0,8.4,30.0,0,0
Aayan Afzal Khan,3,8.0,48,38,2,19.0,4.75,24.0,0,0
Abbas Afridi,1,3.33,20,32,0,,9.6,,0,0
Abu Hider,1,2.17,13,15,0,,6.92,,0,0
Afif Hossain,3,3.0,18,36,1,36.0,12.0,18.0,0,0
Ahmed Raza,1,1.0,6,9,0,,9.0,,0,0
Ahsan Malik,1,1.0,6,10,0,,10.0,,0,0
Aizaz Khan,1,1.0,6,11,1,11.0,11.0,6.0,0,0
Al-Amin Hossain,6,18.33,110,161,8,20.12,8.78,13.75,0,0
Ali Khan,6,21.17,127,190,3,63.33,8.98,42.33,0,0
Amir Ali,2,5.17,31,37,0,,7.16,,0,0
Aqib Ilyas,6,19.0,114,136,2,68.0,7.16,57.0,0,0
Arafat Sunny,2,6.0,36,45,2,22.5,7.5,18.0,0,0
Arshdeep Singh,13,49.0,294,348,24,14.5,7.1,12.25,1,0
Aryan Lakra,1,3.0,18,24,1,24.0,8.0,18.0,0,0
Ayan Khan,2,3.17,19,33,1,33.0,10.42,19.0,0,0
B Evans,2,7.17,43,59,2,29.5,8.23,21.5,0,0
B Fernando,5,14.33,86,119,5,23.8,8.3,17.2,0,0
