player_name,matches_bat,innings,not_outs,runs,balls_faced,bat_avg,bat_sr,hundreds,fifties,fours,sixes,matches_bowl,overs,balls_bowled,runs_conceded,wickets,bowl_avg,economy,bowl_sr,four_wickets,five_wickets
A Balbirnie,13.0,13.0,0.0,245.0,228.0,18.85,107.46,0.0,1.0,18.0,11.0,,,,,,,,,,
A Bohara,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,48.0,61.0,1.0,61.0,7.62,48.0,0.0,0.0
A Dutt,2.0,2.0,1.0,25.0,20.0,25.0,125.0,0.0,0.0,2.0,1.0,2.0,7.33,44.0,41.0,3.0,13.67,5.59,14.67,0.0,0.0
A Johnson,3.0,3.0,0.0,89.0,73.0,29.67,121.92,0.0,1.0,12.0,4.0,,,,,,,,,,
A Nao,2.0,2.0,-1.0,8.0,13.0,2.67,61.54,0.0,0.0,0.0,0.0,3.0,9.5,57.0,47.0,3.0,15.67,4.95,19.0,0.0,0.0
A Nehra,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,114.0,117.0,5.0,23.4,6.16,22.8,0.0,0.0
A Nortje,4.0,4.0,2.0,8.0,10.0,4.0,80.0,0.0,0.0,1.0,0.0,18.0,71.83,431.0,423.0,33.0,12.82,5.89,13.06,3.0,0.0
A Sharafu,1.0,1.0,0.0,4.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,
A Vala,6.0,6.0,0.0,107.0,103.0,17.83,103.88,0.0,1.0,11.0,4.0,5.0,11.0,66.0,81.0,5.0,16.2,7.36,13.2,0.0,0.0
A Zampa,3.0,3.0,1.0,3.0,7.0,1.5,42.86,0.0,0.0,0.0,0.0,19.0,70.67,424.0,456.0,32.0,14.25,6.45,13.25,2.0,1.0
AB de Villiers,3.0,3.0,1.0,46.0,32.0,23.0,143.75,0.0,0.0,1.0,4.0,,,,,,,,,,
AC Agar,2.0,2.0,0.0,29.0,28.0,14.5,103.57,0.0,0.0,0.0,3.0,4.0,12.17,73.0,103.0,3.0,34.33,8.47,24.33,0.0,0.0
AC Evans,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.17,79.0,121.0,3.0,40.33,9.19,26.33,0.0,0.0
AD Hales,10.0,10.0,1.0,259.0,183.0,28.78,141.53,0.0,2.0,28.0,10.0,,,,,,,,,,
AD Mathews,5.0,5.0,2.0,155.0,136.0,51.67,113.97,0.0,1.0,5.0,9.0,4.0,10.5,63.0,75.0,0.0,,7.14,,0.0,0.0
AD Poynter,2.0,2.0,1.0,11.0,11.0,11.0,100.0,0.0,0.0,0.0,1.0,,,,,,,,,,
AD Russell,14.0,14.0,5.0,184.0,116.0,20.44,158.62,0.0,0.0,18.0,11.0,15.0,53.33,320.0,419.0,20.0,20.95,7.86,16.0,0.0,0.0
ADS Fletcher,2.0,2.0,1.0,95.0,75.0,95.0,126.67,0.0,1.0,6.0,6.0,,,,,,,,,,
AF Milne,1.0,1.0,1.0,2.0,2.0,,100.0,0.0,0.0,0.0,0.0,9.0,32.17,193.0,242.0,5.0,48.4,7.52,38.6,0.0,0.0
AGS Gous,6.0,6.0,1.0,219.0,145.0,43.8,151.03,0.0,2.0,20.0,11.0,,,,,,,,,,
AJ Finch,12.0,12.0,1.0,300.0,263.0,27.27,114.07,0.0,1.0,23.0,13.0,,,,,,,,,,
AJ Hosein,6.0,6.0,3.0,52.0,61.0,17.33,85.25,0.0,0.0,3.0,1.0,14.0,51.67,310.0,341.0,14.0,24.36,6.6,22.14,1.0,1.0
AK Markram,17.0,17.0,2.0,361.0,291.0,24.07,124.05,0.0,3.0,32.0,12.0,10.0,21.0,126.0,138.0,3.0,46.0,6.57,42.0,0.0,0.0
AK Sah,3.0,3.0,0.0,38.0,38.0,12.67,100.0,0.0,0.0,5.0,1.0,,,,,,,,,,
AM Phangiso,1.0,1.0,0.0,4.0,5.0,4.0,80.0,0.0,0.0,0.0,0.0,2.0,8.17,49.0,45.0,3.0,15.0,5.51,16.33,0.0,0.0
AM Rahane,1.0,1.0,0.0,40.0,35.0,40.0,114.29,0.0,0.0,2.0,0.0,,,,,,,,,,
AR McBrine,2.0,2.0,2.0,11.0,4.0,,275.0,0.0,0.0,2.0,0.0,3.0,6.17,37.0,59.0,3.0,19.67,9.57,12.33,0.0,0.0
AR Patel,7.0,7.0,2.0,89.0,69.0,17.8,128.99,0.0,0.0,4.0,6.0,12.0,32.83,197.0,275.0,11.0,25.0,8.38,17.91,0.0,0.0
AR Ramjani,3.0,3.0,0.0,13.0,22.0,4.33,59.09,0.0,0.0,2.0,0.0,2.0,7.0,42.0,37.0,3.0,12.33,5.29,14.0,0.0,0.0
