batter,bowler,balls,runs_scored,wickets,cnt_0,cnt_1,cnt_2,cnt_3,cnt_4,cnt_6,prob_0,prob_1,prob_2,prob_3,prob_4,prob_6,prob_W,expected_runs,strike_rate
A Balbirnie,AJ Hosein,4,7,1,2,1,0,0,0,1,0.5,0.25,0.0,0.0,0.0,0.25,0.25,1.75,175.0
A Balbirnie,AS Joseph,2,2,0,0,2,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
A Balbirnie,AU Rashid,14,17,0,3,7,3,0,1,0,0.2143,0.5,0.2143,0.0,0.0714,0.0,0.0,1.2143,121.43
A Balbirnie,Arshdeep Singh,4,1,1,3,1,0,0,0,0,0.75,0.25,0.0,0.0,0.0,0.0,0.25,0.25,25.0
A Balbirnie,B Fernando,4,1,0,3,1,0,0,0,0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.25,25.0
A Balbirnie,B Muzarabani,1,0,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A Balbirnie,BA Stokes,6,4,0,3,2,1,0,0,0,0.5,0.3333,0.1667,0.0,0.0,0.0,0.0,0.6667,66.67
A Balbirnie,BD Glover,1,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Balbirnie,BM Scholtz,5,7,0,1,3,0,0,1,0,0.2,0.6,0.0,0.0,0.2,0.0,0.0,1.4,140.0
A Balbirnie,BTJ Wheal,5,4,1,2,2,1,0,0,0,0.4,0.4,0.2,0.0,0.0,0.0,0.2,0.8,80.0
A Balbirnie,C Karunaratne,7,14,0,2,2,1,0,1,1,0.2857,0.2857,0.1429,0.0,0.1429,0.1429,0.0,2.0,200.0
A Balbirnie,CBRLS Kumara,12,11,2,6,5,0,0,0,1,0.5,0.4167,0.0,0.0,0.0,0.0833,0.1667,0.9167,91.67
A Balbirnie,CR Woakes,10,22,0,2,4,0,0,3,1,0.2,0.4,0.0,0.0,0.3,0.1,0.0,2.2,220.0
A Balbirnie,D Wiese,3,0,0,3,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Balbirnie,FJ Klaassen,5,8,1,3,0,0,0,2,0,0.6,0.0,0.0,0.0,0.4,0.0,0.2,1.6,160.0
A Balbirnie,HN Ya France,7,7,0,3,3,0,0,1,0,0.4286,0.4286,0.0,0.0,0.1429,0.0,0.0,1.0,100.0
A Balbirnie,IS Sodhi,6,15,0,2,1,1,0,0,2,0.3333,0.1667,0.1667,0.0,0.0,0.3333,0.0,2.5,250.0
A Balbirnie,JH Davey,3,6,0,0,2,0,0,1,0,0.0,0.6667,0.0,0.0,0.3333,0.0,0.0,2.0,200.0
A Balbirnie,JJ Smit,3,1,0,2,1,0,0,0,0,0.6667,0.3333,0.0,0.0,0.0,0.0,0.0,0.3333,33.33
A Balbirnie,JN Frylinck,6,3,1,3,3,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.1667,0.5,50.0
A Balbirnie,JO Holder,4,6,0,1,2,0,0,1,0,0.25,0.5,0.0,0.0,0.25,0.0,0.0,1.5,150.0
A Balbirnie,JOA Gordon,9,9,0,4,3,1,0,1,0,0.4444,0.3333,0.1111,0.0,0.1111,0.0,0.0,1.0,100.0
A Balbirnie,JR Hazlewood,5,6,0,4,0,0,0,0,1,0.8,0.0,0.0,0.0,0.0,0.2,0.0,1.2,120.0
A Balbirnie,Junaid Siddiqui,6,5,1,3,1,2,0,0,0,0.5,0.1667,0.3333,0.0,0.0,0.0,0.1667,0.8333,83.33
A Balbirnie,Kaleem Sana,4,3,0,3,0,0,1,0,0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.75,75.0
A Balbirnie,LH Ferguson,7,5,0,3,3,1,0,0,0,0.4286,0.4286,0.1429,0.0,0.0,0.0,0.0,0.7143,71.43
A Balbirnie,LS Livingstone,5,3,1,2,3,0,0,0,0,0.4,0.6,0.0,0.0,0.0,0.0,0.2,0.6,60.0
