batter,bowler,balls_with_commentary,avg_sentiment_score,boundary_pct,dot_pct,dominant_pct,controlled_pct,mistimed_pct,beaten_pct,defensive_pct,pressure_index
A Balbirnie,AJ Hosein,2,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
A Balbirnie,AS Joseph,2,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A Balbirnie,AU Rashid,12,0.4167,0.0,0.1667,0.0,0.8333,0.0,0.0,0.1667,0.0
A Balbirnie,Arshdeep Singh,3,0.1667,0.0,0.6667,0.0,0.3333,0.0,0.0,0.6667,0.0
A Balbirnie,B Fernando,4,0.125,0.0,0.75,0.0,0.25,0.0,0.0,0.75,0.0
A Balbirnie,B Muzarabani,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0
A Balbirnie,BA Stokes,6,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
A Balbirnie,BD Glover,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
A Balbirnie,BM Scholtz,5,0.4,0.2,0.2,0.2,0.6,0.2,0.0,0.0,0.0
A Balbirnie,BTJ Wheal,4,0.125,0.0,0.25,0.0,0.5,0.25,0.0,0.25,0.25
A Balbirnie,C Karunaratne,7,0.5,0.2857,0.2857,0.2857,0.4286,0.0,0.0,0.2857,-0.2857
A Balbirnie,CBRLS Kumara,9,0.0556,0.0,0.4444,0.0,0.5556,0.0,0.2222,0.2222,0.2222
A Balbirnie,CR Woakes,7,0.2857,0.1429,0.2857,0.1429,0.5714,0.0,0.1429,0.1429,0.0
A Balbirnie,D Wiese,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
A Balbirnie,FJ Klaassen,3,0.3333,0.0,1.0,0.3333,0.0,0.0,0.0,0.6667,-0.3333
A Balbirnie,HN Ya France,6,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
A Balbirnie,IS Sodhi,5,0.2,0.2,0.4,0.2,0.4,0.0,0.2,0.2,0.0
A Balbirnie,JH Davey,3,0.6667,0.3333,0.0,0.3333,0.6667,0.0,0.0,0.0,-0.3333
A Balbirnie,JJ Smit,3,0.1667,0.0,0.6667,0.0,0.3333,0.0,0.0,0.6667,0.0
A Balbirnie,JN Frylinck,5,0.3,0.0,0.4,0.0,0.6,0.0,0.0,0.4,0.0
A Balbirnie,JO Holder,3,0.3333,0.0,0.3333,0.0,0.6667,0.0,0.0,0.3333,0.0
A Balbirnie,JOA Gordon,9,0.0,0.1111,0.4444,0.0,0.3333,0.3333,0.0,0.3333,0.3333
A Balbirnie,JR Hazlewood,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
A Balbirnie,Junaid Siddiqui,5,0.3,0.0,0.4,0.0,0.6,0.0,0.0,0.4,0.0
A Balbirnie,Kaleem Sana,4,0.125,0.0,1.0,0.0,0.25,0.0,0.0,0.75,0.0
A Balbirnie,LH Ferguson,7,0.2857,0.0,0.4286,0.0,0.5714,0.0,0.0,0.4286,0.0
A Balbirnie,LS Livingstone,4,0.375,0.0,0.25,0.0,0.75,0.0,0.0,0.25,0.0
A Balbirnie,M Theekshana,7,0.2143,0.0,0.2857,0.0,0.7143,0.0,0.1429,0.1429,0.1429
A Balbirnie,MA Wood,7,0.1429,0.0,0.8571,0.0,0.2857,0.0,0.0,0.7143,0.0
A Balbirnie,MJ Santner,3,0.5,0.0,0.3333,0.0,1.0,0.0,0.0,0.0,0.0
A Balbirnie,MRJ Watt,4,0.25,0.25,0.75,0.25,0.0,0.0,0.0,0.75,-0.25
A Balbirnie,Mohammed Siraj,5,-0.2,0.0,1.0,0.0,0.0,0.0,0.2,0.8,0.2
A Balbirnie,OC McCoy,6,-0.0833,0.0,0.8333,0.0,0.1667,0.0,0.1667,0.6667,0.1667
A Balbirnie,OF Smith,5,0.4,0.4,0.6,0.4,0.0,0.0,0.0,0.6,-0.4
A Balbirnie,PJ Cummins,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
A Balbirnie,PVD Chameera,5,0.1,0.2,0.6,0.2,0.2,0.0,0.2,0.4,0.0
A Balbirnie,PWH de Silva,9,0.2222,0.0,0.5556,0.0,0.4444,0.0,0.0,0.5556,0.0
A Balbirnie,R Ngarava,3,0.0,0.0,0.3333,0.0,0.3333,0.3333,0.0,0.3333,0.3333
A Balbirnie,R Trumpelmann,4,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
A Balbirnie,SM Curran,4,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
A Balbirnie,Shaheen Shah Afridi,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
A Balbirnie,TA Boult,3,-0.3333,0.0,1.0,0.0,0.0,0.0,0.3333,0.6667,0.3333
A Balbirnie,TG Southee,4,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
A Dutt,Mustafizur Rahman,3,0.0,0.0,0.6667,0.0,0.6667,0.0,0.3333,0.0,0.3333
A Dutt,N Thushara,5,0.3,0.0,0.4,0.0,0.6,0.0,0.0,0.4,0.0
A Dutt,PWH de Silva,3,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A Dutt,Rishad Hossain,4,0.125,0.0,0.75,0.0,0.25,0.0,0.0,0.75,0.0
A Dutt,Taskin Ahmed,4,-0.125,0.25,0.25,0.0,0.5,0.25,0.25,0.0,0.5
A Johnson,Ali Khan,5,0.2,0.4,0.6,0.4,0.0,0.0,0.2,0.4,-0.2
