batter,bowler,shot_type,region,count,pct_of_balls
A Balbirnie,AJ Hosein,unknown,mid-on,1,0.5
A Balbirnie,AJ Hosein,unknown,point,1,0.5
A Balbirnie,AS Joseph,drive,point,1,0.5
A Balbirnie,AS Joseph,unknown,mid-wicket,1,0.5
A Balbirnie,AU Rashid,drive,long-off,3,0.25
A Balbirnie,AU Rashid,cut,unknown,1,0.0833
A Balbirnie,AU Rashid,drive,long-on,1,0.0833
A Balbirnie,AU Rashid,drive,point,1,0.0833
A Balbirnie,AU Rashid,flick,long-on,1,0.0833
A Balbirnie,AU Rashid,flick,mid-wicket,1,0.0833
A Balbirnie,AU Rashid,unknown,cover,1,0.0833
A Balbirnie,Arshdeep Singh,flick,unknown,1,0.3333
A Balbirnie,B Fernando,drive,mid-off,1,0.25
A Balbirnie,B Fernando,unknown,cover,1,0.25
A Balbirnie,BA Stokes,drive,unknown,1,0.1667
A Balbirnie,BA Stokes,unknown,point,1,0.1667
A Balbirnie,BA Stokes,unknown,third man,1,0.1667
A Balbirnie,BD Glover,unknown,point,1,1.0
A Balbirnie,BM Scholtz,sweep,cover,1,0.2
A Balbirnie,BM Scholtz,unknown,cover,1,0.2
A Balbirnie,BM Scholtz,unknown,long-off,1,0.2
A Balbirnie,BM Scholtz,unknown,square leg,1,0.2
A Balbirnie,BTJ Wheal,pull,unknown,1,0.25
A Balbirnie,BTJ Wheal,unknown,mid-wicket,1,0.25
A Balbirnie,C Karunaratne,unknown,cover,2,0.2857
A Balbirnie,C Karunaratne,drive,cover,1,0.1429
A Balbirnie,C Karunaratne,pull,mid-wicket,1,0.1429
A Balbirnie,C Karunaratne,sweep,unknown,1,0.1429
A Balbirnie,C Karunaratne,unknown,mid-off,1,0.1429
A Balbirnie,C Karunaratne,unknown,square leg,1,0.1429
A Balbirnie,CBRLS Kumara,unknown,third man,2,0.2222
A Balbirnie,CBRLS Kumara,cut,unknown,1,0.1111
A Balbirnie,CBRLS Kumara,unknown,cover,1,0.1111
A Balbirnie,CBRLS Kumara,unknown,long-on,1,0.1111
A Balbirnie,CR Woakes,unknown,mid-wicket,2,0.2857
A Balbirnie,CR Woakes,drive,cover,1,0.1429
A Balbirnie,CR Woakes,unknown,mid-on,1,0.1429
A Balbirnie,FJ Klaassen,drive,cover,1,0.3333
A Balbirnie,FJ Klaassen,unknown,mid-off,1,0.3333
A Balbirnie,HN Ya France,unknown,mid-wicket,3,0.5
A Balbirnie,HN Ya France,unknown,point,1,0.1667
A Balbirnie,IS Sodhi,cut,unknown,1,0.2
A Balbirnie,IS Sodhi,unknown,cover,1,0.2
A Balbirnie,JH Davey,unknown,cover,1,0.3333
A Balbirnie,JJ Smit,cut,unknown,1,0.3333
A Balbirnie,JJ Smit,sweep,cover,1,0.3333
A Balbirnie,JJ Smit,unknown,cover,1,0.3333
A Balbirnie,JN Frylinck,sweep,cover,1,0.2
A Balbirnie,JN Frylinck,sweep,unknown,1,0.2
A Balbirnie,JN Frylinck,unknown,cover,1,0.2
A Balbirnie,JN Frylinck,unknown,long-on,1,0.2
A Balbirnie,JO Holder,unknown,long-on,1,0.3333
A Balbirnie,JO Holder,unknown,mid-off,1,0.3333
A Balbirnie,JO Holder,unknown,mid-wicket,1,0.3333
A Balbirnie,JOA Gordon,unknown,third man,2,0.2222
A Balbirnie,JOA Gordon,defend,unknown,1,0.1111
A Balbirnie,JOA Gordon,pull,unknown,1,0.1111
A Balbirnie,JOA Gordon,unknown,square leg,1,0.1111
A Balbirnie,JR Hazlewood,unknown,cover,2,0.5
A Balbirnie,JR Hazlewood,unknown,point,1,0.25
A Balbirnie,Junaid Siddiqui,drive,cover,1,0.2
A Balbirnie,Junaid Siddiqui,unknown,fine leg,1,0.2
A Balbirnie,Junaid Siddiqui,unknown,long-on,1,0.2
A Balbirnie,Kaleem Sana,drive,point,1,0.25
A Balbirnie,Kaleem Sana,drive,unknown,1,0.25
A Balbirnie,LH Ferguson,unknown,third man,2,0.2857
A Balbirnie,LH Ferguson,slog,unknown,1,0.1429
A Balbirnie,LH Ferguson,unknown,cover,1,0.1429
A Balbirnie,LH Ferguson,unknown,mid-off,1,0.1429
A Balbirnie,LS Livingstone,sweep,cover,2,0.5
A Balbirnie,LS Livingstone,sweep,square leg,1,0.25
A Balbirnie,M Theekshana,unknown,cover,3,0.4286
A Balbirnie,M Theekshana,drive,cover,1,0.1429
A Balbirnie,M Theekshana,pull,unknown,1,0.1429
A Balbirnie,MA Wood,defend,unknown,1,0.1429
A Balbirnie,MA Wood,unknown,point,1,0.1429
